slug,acronym,author,name,edition_date,country,pages,volume,shelf_number,dates,notes
"Annales du commerce extérieur. Grèce. Faits commerciaux, n° 3. BNF : LC5-138 (By)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Grèce,,3,BNF: LC5-138 (BY),,
"Annales du commerce extérieur. Grèce. Faits commerciaux, n° 4. BNF : LC5-138 (By)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Grèce,,4,BNF: LC5-138 (BY),,
"Annales du commerce extérieur. Grèce. Faits commerciaux, n° 6. BNF : LC5-138 (By)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Grèce,,6,BNF: LC5-138 (BY),,
"Annales du commerce extérieur. Grèce. Faits commerciaux, n° 7. BNF : LC5-138 (By)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Grèce,,7,BNF: LC5-138 (BY),,
"Annales du commerce extérieur. Grèce. Faits commerciaux, n° 9. BNF : LC5-138 (By)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Grèce,,9,BNF: LC5-138 (BY),,
Annales du commerce extérieur. Haïti. Faits commerciaux n° 1  BNF : LC5-138 (C),ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Haïti,,1,BNF: LC5-138 (C),,
Annales du commerce extérieur. Haïti. Faits commerciaux n° 4 (juin 1858)  BNF : LC5-138 (C),ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Haïti,,4,BNF: LC5-138 (C),6/1/1858,
Annales du commerce extérieur. Haïti. Faits commerciaux n° 5 (fev. 1860)  BNF : LC5-138 (C),ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Haïti,,5,BNF: LC5-138 (C),2/1/1860,
Annales du commerce extérieur. Haïti. Faits commerciaux n° 6  BNF : LC5-138 (C),ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Haïti,,6,BNF: LC5-138 (C),,
Annales du commerce extérieur. Haïti. Faits commerciaux n° 7  BNF : LC5-138 (C),ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Haïti,,7,BNF: LC5-138 (C),,
